DISTRITO,TARIFA,CARTERA,consumo_promedio,consumo_std,importe_promedio,importe_std,consumo_minimo,consumo_maximo,total_registros
LAREDO,BT2,M,3658.353703703704,2218.8243416586556,3236.233333333334,1242.6872057443718,1022.4,6704.2,54
LAREDO,BT2,MAYOR,3275.5,3475.4298295318813,2704.2,1250.5890532065278,818.0,5733.0,2
LAREDO,BT3,M,2659.412238095238,2206.9500548404208,3596.226190476189,3535.3312711676895,0.006,8190.8,84
LAREDO,BT3,MAYOR,1787.6666666666667,1080.9700890095587,5456.566666666667,6372.805082797789,574.0,2647.0,3
LAREDO,BT4,MAYOR,236.0,0.0,1824.9,0.0,236.0,236.0,1
LAREDO,BT5A,M,5959.47037037037,1840.9645991279042,3784.1777777777784,1094.7085405339399,4482.3,9618.7,27
LAREDO,BT5A,MAYOR,8933.0,0.0,5412.1,0.0,8933.0,8933.0,1
LAREDO,BT5B,C,100.19962979411694,193.27696611014068,98.9953636538088,200.07843064317154,0.1,8667.0,364770
LAREDO,BT5B,COMÚN,90.16432413673434,170.6342932094729,97.28933715078907,178.63697732451334,1.0,7791.0,11526
LAREDO,BT6,C,1000.0,0.0,342.7292592592593,11.143774638959197,1000.0,1000.0,270
LAREDO,BT6,COMÚN,1000.0,0.0,357.31666666666666,0.4020779360604868,1000.0,1000.0,6
LAREDO,MT2,M,17984.581611068712,20559.345754036298,9854.509923664125,11106.786878203437,87.4364,92312.9314,262
LAREDO,MT2,MAYOR,16686.333333333332,25729.94871254119,10725.888888888889,16580.54494388261,361.0,81025.0,9
LAREDO,MT3,M,11193.573305179856,17046.23845825148,6788.358705035971,9437.574298404397,53.1199,88752.1295,695
LAREDO,MT3,MAYOR,13422.739130434782,20494.296375549315,7888.034782608695,11238.798481745305,119.0,68411.0,23
LAREDO,MT4,M,6015.360914179107,5566.197454224318,4087.1223880597026,3566.691999590957,371.8131,26625.8825,134
LAREDO,MT4,MAYOR,4418.4,1684.0566498785008,2958.3,1090.196569431403,2009.0,6162.0,5
LLACANORA,BT3,M,791.4666666666667,178.07698709640542,2901.5,140.6530127654577,586.0,901.2,3
LLACANORA,BT5B,C,66.54782497202537,247.75255992199578,65.86634185005586,228.43944476097693,0.5,7993.0,42896
LLACANORA,BT5B,COMÚN,60.96293550778354,186.23228242411602,64.10237212750195,184.3555759720734,1.0,4116.0,1349
LLACANORA,BT6,C,700.0,0.0,242.38000000000002,7.642503651877809,700.0,700.0,30
LLACANORA,BT6,COMÚN,700.0,0.0,254.4,0.0,700.0,700.0,1
LLACANORA,MT2,M,9742.223844827586,3484.5476032426013,5985.910344827585,2954.3869549434835,5784.4488,32517.2403,58
LLACANORA,MT2,MAYOR,8517.0,6648.761313207145,6565.766666666666,5373.1232875612795,1064.0,13839.0,3
LLACANORA,MT3,M,6660.113127272725,5190.976865366484,4781.238636363636,3060.3333998504077,416.7542,18144.9381,44
LLACLLIN,BT5B,C,29.64859018926226,60.82679789442252,28.684035019956152,58.92337143096058,0.1,1074.0,7767
LLACLLIN,BT5B,COMÚN,30.62825278810409,60.49462864026789,31.80297397769519,62.677750748440616,1.0,599.0,269
LLACLLIN,MT4,M,869.3045481481485,134.46661693674807,538.5444444444444,68.40276272723158,374.76,1091.16,27
LLACLLIN,MT4,MAYOR,902.0,0.0,550.3,0.0,902.0,902.0,1
LLAMA,BT5B,C,24.259881535482396,62.168669072523066,21.036803736188542,57.12758392535444,0.5,1851.0,8779
LLAMA,BT5B,COMÚN,21.140845070422536,28.564004517112988,21.111619718309846,28.456305334113615,1.0,240.0,284
LLAMELLIN,BT5B,C,36.28244650006903,88.22252119117756,32.20425583321848,85.38275992508913,0.08,1611.0,28972
